0.7111, 0.6576, 0.1109, 0.4857, 0.1814  0.0 1.0 0.0 0.0 0.0 0.0 
0.5889, 0.6214, 0.3763, 0.8047, 0.0441  0.0 1.0 0.0 0.0 0.0 1.0 
0.6111, 0.6225, 0.4221, 0.7585, 0.0560  0.0 1.0 0.0 0.0 0.0 1.0 
0.4722, 0.5249, 0.4521, 0.8790, 0.0197  0.0 1.0 0.0 0.0 0.0 1.0 
0.4222, 0.4901, 0.4811, 0.8850, 0.0278  0.0 1.0 0.0 0.0 0.0 1.0 
0.6222, 0.6458, 0.3542, 0.8056, 0.0396  0.0 1.0 0.0 0.0 0.0 1.0 
0.6667, 0.6640, 0.3220, 0.6691, 0.0896  0.0 1.0 0.0 0.0 0.0 1.0 
0.6667, 0.6407, 0.3868, 0.6285, 0.1009  0.0 1.0 0.0 0.0 0.0 1.0 
0.7111, 0.7109, 0.2691, 0.6788, 0.0842  0.0 1.0 0.0 0.0 0.0 1.0 
0.6667, 0.6751, 0.3144, 0.7007, 0.0700  0.0 1.0 0.0 0.0 0.0 1.0 
0.8333, 0.7743, 0.3064, 0.5735, 0.0959  0.0 1.0 0.0 0.0 1.0 0.0 
0.6889, 0.6535, 0.3070, 0.6565, 0.0761  0.0 1.0 0.0 0.0 1.0 0.0 
0.7111, 0.6787, 0.2696, 0.6526, 0.0861  0.0 1.0 0.0 0.0 1.0 0.0 
0.5889, 0.6004, 0.3576, 0.6985, 0.0923  0.0 1.0 0.0 0.0 1.0 0.0 
0.6222, 0.6511, 0.2422, 0.7678, 0.0554  0.0 1.0 0.0 0.0 1.0 0.0 
0.8111, 0.7933, 0.2151, 0.6038, 0.1149  0.0 1.0 0.0 0.0 1.0 0.0 
0.8222, 0.7845, 0.2596, 0.5789, 0.1101  0.0 1.0 0.0 0.0 1.0 0.0 
0.7111, 0.6793, 0.2538, 0.6756, 0.0758  0.0 1.0 0.0 0.0 1.0 0.0 
0.8333, 0.8081, 0.2101, 0.5796, 0.1205  0.0 1.0 0.0 0.0 1.0 0.0 
0.5889, 0.5829, 0.3401, 0.7271, 0.1046  0.0 1.0 0.0 0.0 1.0 1.0 
0.5556, 0.5727, 0.2852, 0.7845, 0.1104  0.0 1.0 0.0 0.0 1.0 1.0 
0.6111, 0.6149, 0.3145, 0.7579, 0.0730  0.0 1.0 0.0 0.0 1.0 1.0 
